locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNDGMFLB_02251	CDS	891	yokF	3.1.-.-	COG1525	SPbeta prophage-derived endonuclease YokF
KNDGMFLB_02252	CDS	483				hypothetical protein
KNDGMFLB_02253	CDS	819	yokD	2.3.1.-	COG2746	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
KNDGMFLB_02254	CDS	156				hypothetical protein
KNDGMFLB_02255	CDS	150				hypothetical protein
KNDGMFLB_02256	CDS	516				hypothetical protein
KNDGMFLB_02257	CDS	711				hypothetical protein
KNDGMFLB_02258	CDS	1638				hypothetical protein
KNDGMFLB_02259	CDS	591	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
KNDGMFLB_02260	CDS	432	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
KNDGMFLB_02261	CDS	534	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
KNDGMFLB_02262	CDS	426				hypothetical protein
KNDGMFLB_02263	CDS	1338	mepA_1			Multidrug export protein MepA
KNDGMFLB_02264	CDS	195				hypothetical protein
KNDGMFLB_02265	CDS	564				hypothetical protein
KNDGMFLB_02266	CDS	768	lipC_2	3.-.-.-	COG2755	Spore germination lipase LipC
KNDGMFLB_02267	CDS	582	ypmQ		COG1999	SCO1 protein 
KNDGMFLB_02268	CDS	252				hypothetical protein
KNDGMFLB_02269	CDS	1269	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
KNDGMFLB_02270	CDS	996	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
KNDGMFLB_02271	CDS	642				hypothetical protein
KNDGMFLB_02272	CDS	621				hypothetical protein
KNDGMFLB_02273	CDS	507				IS1595 family transposase ISSsu9
KNDGMFLB_02274	CDS	795	thyA2	2.1.1.45	COG0207	Thymidylate synthase 2
KNDGMFLB_02275	CDS	534	ypjQ_1		COG1267	putative protein YpjQ
KNDGMFLB_02276	CDS	612				hypothetical protein
KNDGMFLB_02277	CDS	774	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
KNDGMFLB_02278	CDS	435				hypothetical protein
KNDGMFLB_02279	CDS	1677	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
KNDGMFLB_02280	CDS	1134				hypothetical protein
KNDGMFLB_02281	CDS	618	yedJ		COG1418	putative protein YedJ
KNDGMFLB_02282	CDS	483	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
KNDGMFLB_02283	CDS	906	metAA	2.3.1.31		Homoserine O-acetyltransferase
KNDGMFLB_02284	CDS	1149	ugtP_2	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
KNDGMFLB_02285	CDS	201	cspD		COG1278	Cold shock protein CspD
KNDGMFLB_02286	CDS	183	degR			Regulatory protein DegR
KNDGMFLB_02287	CDS	270				hypothetical protein
KNDGMFLB_02288	CDS	183				hypothetical protein
KNDGMFLB_02289	CDS	681				hypothetical protein
KNDGMFLB_02290	CDS	690				queuosine precursor transporter
KNDGMFLB_02291	CDS	399	rnhA_2		COG0328	14.7 kDa ribonuclease H-like protein
KNDGMFLB_02292	CDS	129	sspL			Small, acid-soluble spore protein L
KNDGMFLB_02293	CDS	891	ypcP	3.1.11.-	COG0258	5'-3' exonuclease
KNDGMFLB_02294	CDS	147				hypothetical protein
KNDGMFLB_02295	CDS	258				hypothetical protein
KNDGMFLB_02296	CDS	3582	der_1			GTPase Der
KNDGMFLB_02297	CDS	507				hypothetical protein
KNDGMFLB_02298	CDS	1098		2.3.1.-	COG3424	Alpha-pyrone synthesis polyketide synthase-like Pks11
KNDGMFLB_02299	CDS	1317	pucK_1		COG2233	Uric acid permease PucK
KNDGMFLB_02300	CDS	585	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
KNDGMFLB_02301	CDS	1506	ypwA	3.4.17.19	COG2317	Carboxypeptidase 1
KNDGMFLB_02302	CDS	993	kdgT			2-keto-3-deoxygluconate permease
KNDGMFLB_02303	CDS	591	kdgA		COG0800	KHG/KDPG aldolase
KNDGMFLB_02304	CDS	975	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
KNDGMFLB_02305	CDS	1020	kdgR		COG1609	HTH-type transcriptional regulator KdgR
KNDGMFLB_02306	CDS	828	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
KNDGMFLB_02307	CDS	765	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
KNDGMFLB_02308	CDS	1926	dinG_1	3.6.4.12	COG1199	putative ATP-dependent helicase DinG 
KNDGMFLB_02309	CDS	192				hypothetical protein
KNDGMFLB_02310	CDS	1158	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
KNDGMFLB_02311	CDS	297	gpsB		COG3599	Cell cycle protein GpsB
KNDGMFLB_02312	CDS	543				hypothetical protein
KNDGMFLB_02313	CDS	1242				hypothetical protein
KNDGMFLB_02314	CDS	2250	dbpA_1	3.6.4.13		ATP-dependent RNA helicase DbpA
KNDGMFLB_02315	CDS	507	crr			PTS system glucose-specific EIIA component
KNDGMFLB_02316	CDS	420				hypothetical protein
KNDGMFLB_02317	CDS	378				hypothetical protein
KNDGMFLB_02318	CDS	189				hypothetical protein
KNDGMFLB_02319	CDS	372	yppE			putative protein YppE
KNDGMFLB_02320	CDS	246				hypothetical protein
KNDGMFLB_02321	CDS	105	sspM			Small, acid-soluble spore protein M
KNDGMFLB_02322	CDS	963				hypothetical protein
KNDGMFLB_02323	CDS	621	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
KNDGMFLB_02324	CDS	2745	ponA		COG0744	Penicillin-binding protein 1A/1B
KNDGMFLB_02325	CDS	495	ypoC			putative protein YpoC
KNDGMFLB_02326	CDS	660	nth	4.2.99.18	COG0177	Endonuclease III
KNDGMFLB_02327	CDS	699	dnaD		COG3935	DNA replication protein DnaD
KNDGMFLB_02328	CDS	1296	asnS	6.1.1.22		Asparagine--tRNA ligase
KNDGMFLB_02329	CDS	1182		2.6.1.1		Aspartate aminotransferase
KNDGMFLB_02330	CDS	486	ypmB		COG5353	putative protein YpmB
KNDGMFLB_02331	CDS	171				hypothetical protein
KNDGMFLB_02332	CDS	2796	dinG_2	3.1.-.-		3'-5' exonuclease DinG
KNDGMFLB_02333	CDS	384	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
KNDGMFLB_02334	CDS	861	panC	6.3.2.1		Pantothenate synthetase
KNDGMFLB_02335	CDS	834	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
KNDGMFLB_02336	CDS	978	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
KNDGMFLB_02337	CDS	1194	cca	2.7.7.72		CCA-adding enzyme
KNDGMFLB_02338	CDS	1134	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
KNDGMFLB_02339	CDS	711	bshB1	3.5.1.-	COG2120	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
KNDGMFLB_02340	CDS	414	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
KNDGMFLB_02341	CDS	804	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
KNDGMFLB_02342	CDS	336	ypjD		COG1694	putative protein YpjD
KNDGMFLB_02343	CDS	873				hypothetical protein
KNDGMFLB_02344	CDS	795				hypothetical protein
KNDGMFLB_02345	CDS	594				hypothetical protein
KNDGMFLB_02346	CDS	768	petD			Cytochrome b6-f complex subunit 4
KNDGMFLB_02347	CDS	675	qcrB		COG1290	Menaquinol-cytochrome c reductase cytochrome b subunit
KNDGMFLB_02348	CDS	504	petC_2	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
KNDGMFLB_02349	CDS	447				hypothetical protein
KNDGMFLB_02350	CDS	540				hypothetical protein
KNDGMFLB_02351	CDS	1272	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
KNDGMFLB_02352	CDS	1287	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
KNDGMFLB_02353	CDS	1116				hypothetical protein
KNDGMFLB_02354	CDS	1083	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
KNDGMFLB_02355	CDS	804	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
KNDGMFLB_02356	CDS	1203	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
KNDGMFLB_02357	CDS	648	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
KNDGMFLB_02358	CDS	753	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
KNDGMFLB_02359	CDS	1017	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
KNDGMFLB_02360	CDS	1548	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
KNDGMFLB_02361	CDS	384	aroH	5.4.99.5	COG4401	Chorismate mutase AroH
KNDGMFLB_02362	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
KNDGMFLB_02363	CDS	1173	aroC	4.2.3.5	COG0082	Chorismate synthase
KNDGMFLB_02364	CDS	771	cheR	2.1.1.80		Chemotaxis protein methyltransferase
KNDGMFLB_02365	CDS	447	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
KNDGMFLB_02366	CDS	1047	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
KNDGMFLB_02367	CDS	702	menG	2.1.1.163	COG2226	Demethylmenaquinone methyltransferase
KNDGMFLB_02368	CDS	765	hepS	2.5.1.30		Heptaprenyl diphosphate synthase component 1
KNDGMFLB_02369	CDS	228	mtrB			Transcription attenuation protein MtrB
KNDGMFLB_02370	CDS	573	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
KNDGMFLB_02371	CDS	279	hupA		COG0776	DNA-binding protein HU 1
KNDGMFLB_02372	CDS	1479	spoIVA	3.6.1.3		Stage IV sporulation protein A
KNDGMFLB_02373	CDS	735				hypothetical protein
KNDGMFLB_02374	CDS	204				hypothetical protein
KNDGMFLB_02375	CDS	1038	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
KNDGMFLB_02376	CDS	1311	der_2		COG1160	GTPase Der
KNDGMFLB_02377	CDS	195				hypothetical protein
KNDGMFLB_02378	CDS	894				hypothetical protein
KNDGMFLB_02379	CDS	600				hypothetical protein
KNDGMFLB_02380	CDS	132				hypothetical protein
KNDGMFLB_02381	CDS	1050	fni	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
KNDGMFLB_02382	CDS	1149	ypfD		COG0539	30S ribosomal protein S1 
KNDGMFLB_02383	CDS	675	cmk	2.7.4.25	COG0283	Cytidylate kinase
KNDGMFLB_02384	CDS	177				hypothetical protein
KNDGMFLB_02385	CDS	654	ypfA		COG5581	putative protein YpfA
KNDGMFLB_02386	CDS	1353	ypeB			Sporulation protein YpeB
KNDGMFLB_02387	CDS	918	sleB		COG3409	Spore cortex-lytic enzyme
KNDGMFLB_02388	CDS	657	prsW	3.4.-.-	COG2339	Protease PrsW
KNDGMFLB_02389	CDS	975		1.18.1.2	COG0492	Ferredoxin--NADP reductase
KNDGMFLB_02390	CDS	1275	gudB	1.4.1.2	COG0334	Cryptic catabolic NAD-specific glutamate dehydrogenase GudB
KNDGMFLB_02391	CDS	585	mecB		COG4862	Adapter protein MecA 2
KNDGMFLB_02392	CDS	780	ypbG_2		COG1408	putative protein YpbG
KNDGMFLB_02393	CDS	444				hypothetical protein
KNDGMFLB_02394	CDS	723				hypothetical protein
KNDGMFLB_02395	CDS	603				hypothetical protein
KNDGMFLB_02396	CDS	1491	dbpA_2	3.6.4.13		ATP-dependent RNA helicase DbpA
KNDGMFLB_02397	CDS	1059				hypothetical protein
KNDGMFLB_02398	CDS	249	fer		COG1141	Ferredoxin
KNDGMFLB_02399	CDS	573	fmnP		COG3601	Riboflavin transporter FmnP
KNDGMFLB_02400	CDS	1578	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
KNDGMFLB_02401	CDS	768	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
KNDGMFLB_02402	CDS	1104	rsiX			Anti-sigma-X factor RsiX
KNDGMFLB_02403	CDS	585	sigX		COG1595	ECF RNA polymerase sigma factor SigX
KNDGMFLB_02404	CDS	1770	resE	2.7.13.3		Sensor histidine kinase ResE
KNDGMFLB_02405	CDS	723	srrA_2		COG0745	Transcriptional regulatory protein SrrA
KNDGMFLB_02406	CDS	1176	ccsA_2			Cytochrome c biogenesis protein CcsA
KNDGMFLB_02407	CDS	1629	ccsB			Cytochrome c biogenesis protein CcsB
KNDGMFLB_02408	CDS	540	resA_1			Thiol-disulfide oxidoreductase ResA
KNDGMFLB_02409	CDS	735	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
KNDGMFLB_02410	CDS	537	spmB			Spore maturation protein B
KNDGMFLB_02411	CDS	591	spmA		COG2715	Spore maturation protein A
KNDGMFLB_02412	CDS	1149	dacB	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacB
KNDGMFLB_02413	CDS	540				hypothetical protein
KNDGMFLB_02414	CDS	594	scpB		COG1386	Segregation and condensation protein B
KNDGMFLB_02415	CDS	786	scpA		COG1354	Segregation and condensation protein A
KNDGMFLB_02416	CDS	525				hypothetical protein
KNDGMFLB_02417	CDS	375	ribT	2.3.1.-		Protein RibT
KNDGMFLB_02418	CDS	465	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
KNDGMFLB_02419	CDS	1197	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
KNDGMFLB_02420	CDS	648	ribE	2.5.1.9	COG0307	Riboflavin synthase
KNDGMFLB_02421	CDS	1086	ribD		COG0117	Riboflavin biosynthesis protein RibD
KNDGMFLB_02422	CDS	345				hypothetical protein
KNDGMFLB_02423	CDS	555	sipS	3.4.21.89	COG0681	Signal peptidase I S
KNDGMFLB_02424	CDS	207				hypothetical protein
KNDGMFLB_02425	CDS	390				hypothetical protein
KNDGMFLB_02426	CDS	204				hypothetical protein
KNDGMFLB_02427	CDS	213				hypothetical protein
KNDGMFLB_02428	CDS	432	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
KNDGMFLB_02429	CDS	873	ypuA		COG4086	putative protein YpuA
KNDGMFLB_02430	CDS	1326	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
KNDGMFLB_02431	CDS	1482	gerXA			Spore germination protein XA
KNDGMFLB_02432	CDS	612				hypothetical protein
KNDGMFLB_02433	CDS	351				hypothetical protein
KNDGMFLB_02434	CDS	1017	spoVAD			Stage V sporulation protein AD
KNDGMFLB_02435	CDS	453				hypothetical protein
KNDGMFLB_02436	CDS	426				hypothetical protein
KNDGMFLB_02437	CDS	621				hypothetical protein
KNDGMFLB_02438	CDS	768	sigF		COG1191	RNA polymerase sigma-F factor
KNDGMFLB_02439	CDS	441	spoIIAB	2.7.11.1	COG2172	Anti-sigma F factor
KNDGMFLB_02440	CDS	354	spoIIAA		COG1366	Anti-sigma F factor antagonist
KNDGMFLB_02441	CDS	1170	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
KNDGMFLB_02442	CDS	816	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
KNDGMFLB_02443	CDS	1185	deoB	5.4.2.7	COG1015	Phosphopentomutase
KNDGMFLB_02444	CDS	891	xerD			Tyrosine recombinase XerD
KNDGMFLB_02445	CDS	228				hypothetical protein
KNDGMFLB_02446	CDS	450	fur		COG0735	Ferric uptake regulation protein
KNDGMFLB_02447	CDS	645	spoIIM		COG1300	Stage II sporulation protein M
KNDGMFLB_02448	CDS	216				hypothetical protein
KNDGMFLB_02449	CDS	1320		1.1.1.38		NAD-dependent malic enzyme
KNDGMFLB_02450	CDS	1407	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
KNDGMFLB_02451	CDS	1428	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
KNDGMFLB_02452	CDS	990	ansA	3.5.1.1	COG0252	L-asparaginase 1
KNDGMFLB_02453	CDS	351				hypothetical protein
KNDGMFLB_02454	CDS	1164				hypothetical protein
KNDGMFLB_02455	CDS	558	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
KNDGMFLB_02456	CDS	123	mciZ			Cell division inhibitor MciZ
KNDGMFLB_02457	CDS	921	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
KNDGMFLB_02458	CDS	348				hypothetical protein
KNDGMFLB_02459	CDS	918				hypothetical protein
KNDGMFLB_02460	CDS	240				hypothetical protein
KNDGMFLB_02461	CDS	324				hypothetical protein
KNDGMFLB_02462	CDS	1032				hypothetical protein
KNDGMFLB_02463	CDS	342	yqjZ		COG2329	putative protein YqjZ
KNDGMFLB_02464	CDS	471	yqjY			putative protein YqjY
KNDGMFLB_02465	CDS	339				hypothetical protein
KNDGMFLB_02466	CDS	1236	dinB_2	2.7.7.7		DNA polymerase IV
KNDGMFLB_02467	CDS	207				hypothetical protein
KNDGMFLB_02468	CDS	1233	mdrP_3			Na(+), Li(+), K(+)/H(+) antiporter
KNDGMFLB_02469	CDS	159				hypothetical protein
KNDGMFLB_02470	CDS	387				hypothetical protein
KNDGMFLB_02471	CDS	960	coaA	2.7.1.33	COG1072	Pantothenate kinase
KNDGMFLB_02472	CDS	1347	dsdA	4.3.1.18	COG3048	D-serine dehydratase
KNDGMFLB_02473	CDS	780		1.-.-.-		putative oxidoreductase
KNDGMFLB_02474	CDS	960				hypothetical protein
KNDGMFLB_02475	CDS	837	proC_2	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
KNDGMFLB_02476	CDS	1644	rocB_1		COG4187	Protein RocB
KNDGMFLB_02477	CDS	1017	namA	1.6.99.1	COG1902	NADPH dehydrogenase
KNDGMFLB_02478	CDS	762	dhaA	3.8.1.5		Haloalkane dehalogenase
KNDGMFLB_02479	CDS	924	rnz	3.1.26.11	COG1234	Ribonuclease Z
KNDGMFLB_02480	CDS	1470	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
KNDGMFLB_02481	CDS	1410	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
KNDGMFLB_02482	CDS	1245	dinB_3	2.7.7.7	COG0389	DNA polymerase IV
KNDGMFLB_02483	CDS	282	mifM			Membrane protein insertion and folding monitor
KNDGMFLB_02484	CDS	828	misCB		COG0706	Membrane protein insertase MisCB
KNDGMFLB_02485	CDS	729				hypothetical protein
KNDGMFLB_02486	CDS	1116	pepT_1	3.4.11.4	COG2195	Peptidase T
KNDGMFLB_02487	CDS	1530	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
KNDGMFLB_02488	CDS	423	epi	5.1.99.-	COG0346	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
KNDGMFLB_02489	CDS	93				hypothetical protein
KNDGMFLB_02490	CDS	531				hypothetical protein
KNDGMFLB_02491	CDS	969				hypothetical protein
KNDGMFLB_02492	CDS	723	artM		COG1126	Arginine transport ATP-binding protein ArtM
KNDGMFLB_02493	CDS	660	artQ		COG0765	Arginine transport system permease protein ArtQ
KNDGMFLB_02494	CDS	768	artP		COG0834	Arginine-binding extracellular protein ArtP
KNDGMFLB_02495	CDS	438				hypothetical protein
KNDGMFLB_02496	CDS	894	bmrU	2.7.1.-	COG1597	Putative lipid kinase BmrU
KNDGMFLB_02497	CDS	1170	tetA_1			Tetracycline resistance protein, class B
KNDGMFLB_02498	CDS	837	bmrR		COG0789	Multidrug-efflux transporter 1 regulator
KNDGMFLB_02499	CDS	1275	pdhC_3	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
KNDGMFLB_02500	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
KNDGMFLB_02501	CDS	993	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
KNDGMFLB_02502	CDS	1425	pdhD_3	1.8.1.4		Dihydrolipoyl dehydrogenase
KNDGMFLB_02503	CDS	1086	buk2	2.7.2.7	COG3426	Butyrate kinase 2
KNDGMFLB_02504	CDS	1095	ldh_1	1.4.1.9	COG0334	Leucine dehydrogenase
KNDGMFLB_02505	CDS	900	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
KNDGMFLB_02506	CDS	2079	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
KNDGMFLB_02507	CDS	237				hypothetical protein
KNDGMFLB_02508	CDS	906	mmgF	4.1.3.-	COG2513	2-methylisocitrate lyase
KNDGMFLB_02509	CDS	1419	mmgE	4.2.1.-	COG2079	Citrate/2-methylcitrate dehydratase
KNDGMFLB_02510	CDS	1119	mmgD	2.3.3.-	COG0372	Citrate/2-methylcitrate synthase
KNDGMFLB_02511	CDS	1140	mmgC	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
KNDGMFLB_02512	CDS	864	mmgB	1.1.1.157	COG1250	putative 3-hydroxybutyryl-CoA dehydrogenase
KNDGMFLB_02513	CDS	1182	mmgA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
KNDGMFLB_02514	CDS	732	glpQ_2	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
KNDGMFLB_02515	CDS	615	lytC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
KNDGMFLB_02516	CDS	294				hypothetical protein
KNDGMFLB_02517	CDS	1149		1.-.-.-		putative oxidoreductase
KNDGMFLB_02518	CDS	114				hypothetical protein
KNDGMFLB_02519	CDS	804	spo0A		COG0784	Stage 0 sporulation protein A
KNDGMFLB_02520	CDS	1281	spoIVB	3.4.21.116	COG0750	SpoIVB peptidase
KNDGMFLB_02521	CDS	1731	recN		COG0497	DNA repair protein RecN
KNDGMFLB_02522	CDS	450	argR		COG1438	Arginine repressor
KNDGMFLB_02523	CDS	846	tlyA		COG1189	Hemolysin A
KNDGMFLB_02524	CDS	1902	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
KNDGMFLB_02525	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
KNDGMFLB_02526	CDS	255	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
KNDGMFLB_02527	CDS	1347	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
KNDGMFLB_02528	CDS	852	folD		COG0190	Bifunctional protein FolD protein
KNDGMFLB_02529	CDS	396	nusB			Transcription antitermination protein NusB
KNDGMFLB_02530	CDS	408				hypothetical protein
KNDGMFLB_02531	CDS	1353	accC	6.3.4.14	COG0439	Biotin carboxylase
KNDGMFLB_02532	CDS	480	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
KNDGMFLB_02533	CDS	657	spoIIIAH			Stage III sporulation protein AH
KNDGMFLB_02534	CDS	690				hypothetical protein
KNDGMFLB_02535	CDS	621	spoIIIAF			Stage III sporulation protein AF
KNDGMFLB_02536	CDS	1200	spoIIIAE			Stage III sporulation protein AE
KNDGMFLB_02537	CDS	402				hypothetical protein
KNDGMFLB_02538	CDS	207				hypothetical protein
KNDGMFLB_02539	CDS	516	spoIIIAB			Stage III sporulation protein AB
KNDGMFLB_02540	CDS	924				hypothetical protein
KNDGMFLB_02541	CDS	282				hypothetical protein
KNDGMFLB_02542	CDS	558	efp			Elongation factor P
KNDGMFLB_02543	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
KNDGMFLB_02544	CDS	447	yqhS	4.2.1.10	COG0757	3-dehydroquinate dehydratase
KNDGMFLB_02545	CDS	534				hypothetical protein
KNDGMFLB_02546	CDS	957				hypothetical protein
KNDGMFLB_02547	CDS	396				hypothetical protein
KNDGMFLB_02548	CDS	876				hypothetical protein
KNDGMFLB_02549	CDS	429	mntR		COG1321	HTH-type transcriptional regulator MntR
KNDGMFLB_02550	CDS	837	lipM	2.3.1.181	COG0095	Octanoyltransferase LipM
KNDGMFLB_02551	CDS	381	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
KNDGMFLB_02552	CDS	1467	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
KNDGMFLB_02553	CDS	1347	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
KNDGMFLB_02554	CDS	1089	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
KNDGMFLB_02555	CDS	1674	rapA_2	3.6.4.-		RNA polymerase-associated protein RapA
KNDGMFLB_02556	CDS	795				hypothetical protein
KNDGMFLB_02557	CDS	174	sinI			Protein SinI
KNDGMFLB_02558	CDS	240	sinR		COG1396	HTH-type transcriptional regulator SinR
KNDGMFLB_02559	CDS	786	tasA			Major biofilm matrix component
KNDGMFLB_02560	CDS	573	sipW	3.4.21.89	COG0681	Signal peptidase I W
KNDGMFLB_02561	CDS	762	tapA			TasA anchoring/assembly protein
KNDGMFLB_02562	CDS	378	yqzG			putative protein YqzG
KNDGMFLB_02563	CDS	180				hypothetical protein
KNDGMFLB_02564	CDS	375	comGG			ComG operon protein 7
KNDGMFLB_02565	CDS	297				hypothetical protein
KNDGMFLB_02566	CDS	348				hypothetical protein
KNDGMFLB_02567	CDS	432				hypothetical protein
KNDGMFLB_02568	CDS	297	comGC		COG4537	ComG operon protein 3
KNDGMFLB_02569	CDS	1038	epsF_1		COG1459	Type II secretion system protein F
KNDGMFLB_02570	CDS	1071	comGA		COG2804	ComG operon protein 1
KNDGMFLB_02571	CDS	165				hypothetical protein
KNDGMFLB_02572	CDS	954	corA_2		COG0598	Magnesium transport protein CorA
KNDGMFLB_02573	CDS	1320				hypothetical protein
KNDGMFLB_02574	CDS	837	rsbRD_2			RsbT co-antagonist protein RsbRD
KNDGMFLB_02575	tRNA	71				tRNA-Gln(ttg)
KNDGMFLB_02576	CDS	381	mgsR_1		COG1393	Regulatory protein MgsR
KNDGMFLB_02577	CDS	246				hypothetical protein
KNDGMFLB_02578	CDS	636		3.-.-.-		putative metallo-hydrolase
KNDGMFLB_02579	CDS	174				hypothetical protein
KNDGMFLB_02580	CDS	315				hypothetical protein
KNDGMFLB_02581	CDS	1056				hypothetical protein
KNDGMFLB_02582	CDS	1128		3.4.19.11		Gamma-D-glutamyl-L-diamino acid endopeptidase 1
KNDGMFLB_02583	CDS	1917	ltaS1_2		COG1368	Lipoteichoic acid synthase 1
KNDGMFLB_02584	CDS	966	glcK	2.7.1.2	COG1940	Glucokinase
KNDGMFLB_02585	CDS	216	yqgQ		COG4483	putative protein YqgQ
KNDGMFLB_02586	CDS	1524	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
KNDGMFLB_02587	CDS	174				hypothetical protein
KNDGMFLB_02588	CDS	564	yqgN		COG0212	putative protein YqgN
KNDGMFLB_02589	CDS	150	rpmGA		COG0267	50S ribosomal protein L33 1
KNDGMFLB_02590	CDS	1080	glgM	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
KNDGMFLB_02591	CDS	471				hypothetical protein
KNDGMFLB_02592	CDS	354				hypothetical protein
KNDGMFLB_02593	CDS	465	mltG_2	4.2.2.-		Endolytic murein transglycosylase
KNDGMFLB_02594	CDS	783	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
KNDGMFLB_02595	CDS	810	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
